Model,R2,MAE
MatTen,0.5012198821731824,91.37847345849609
MatTen+rf,0.994400656926768,10.6778487051852
MatTen+iso,0.8629946532281701,54.08214064485425
MatTen+knn,0.8292437138492057,63.486170418518505
MatTen+poly4,0.8129265607788689,67.37340002136823
MatTen+poly3,0.8069193545997146,68.02840237036011
MatTen+poly2,0.7931841421722252,72.55324572493369
MatTen+lin,0.7501487224442658,78.02929672471728
MatTen+exp,0.6846985134321405,87.30129660612862
MatTen+gpr,-2.2142806403156117,288.7641293055562
